product_name,nutriscore_grade,nutriscore_score,nova_group,energy-kcal_100g,saturated-fat_100g,sugars_100g,sodium_100g,fruits-vegetables-nuts_100g,fiber_100g,proteins_100g
Pont-L'ÉVÊQUE g.U.,d,12.0,4.0,280.0,15.3,0.0,0.6,14.0,3.3,21.5
"Cashewkerne, Naturell",b,-3.0,1.0,602.0,8.2,6.0,0.0,100.0,3.5,21.0
Paprika Erdnüsse,d,15.0,4.0,130.0,7.31,5.43,0.247,49.0,3.03,2.23
Mini cake,d,18.0,4.0,380.0,1.2,40.0,0.22,30.0,2.1,4.6
"Smoothie mela, banana, mango",d,8.0,1.0,56.0,0.1,11.9,0.004,100.0,0.9,0.6
Jus d'orange  avec pulpe,c,6.0,1.0,41.0,0.1,8.5,0.004,100.0,0.6,0.7
Succo di mela di fico d'india e di lime,e,10.0,4.0,47.0,0.1,11.0,0.004,42.0,0.0,0.5
Speisefrühkartoffeln vorwiegend festkochend,a,0.0,1.0,76.4,0.058,0.2,0.058,100.0,1.3,1.88
Macédoine de légumes - mayonnaise,b,2.0,4.0,131.0,0.8,1.4,0.38,67.0,0.0,2.5
Plateau de poulet à la Mexicaine,d,13.0,4.0,213.0,4.4,0.0,0.6,0.0,1.3,17.0
Pain hyperprotéiné energus10,a,-3.0,4.0,270.0,1.8,1.9,0.44,0.0,10.1,26.5
Filets de dinde en tournedos bardés,a,-1.0,1.0,177.0,3.4,0.0,0.108,0.0,0.0,23.0
Solevita,c,4.0,1.0,42.0,0.0,9.0,0.004,100.0,0.5,0.7
Plateau de saucisses de volaille,d,14.0,4.0,187.0,3.8,0.5,0.76,0.0,1.4,16.0
Jus d’Orange,c,5.0,1.0,45.0,0.1,9.4,0.008,100.0,0.0,0.8
Biscuits cuillers,d,18.0,4.0,349.0,0.9,47.0,0.16,0.0,0.0,7.0
Noix de cajou grillées et salées,c,8.0,3.0,618.0,9.2,5.8,0.4,100.0,3.7,18.5
8 galette de légumes,b,2.0,4.0,111.0,0.8,3.1,0.336,75.0,3.0,2.5
"Taboulé au poulet, à la ciboulette",c,5.0,4.0,171.0,0.8,3.6,0.38,0.0,2.3,5.5
Dessert glacé aux 3 chocolats (650 g / 900 ml),d,17.0,4.0,241.0,7.0,30.8,0.06,0.0,1.0,4.0
Noisettes hachées et grillées,a,-8.0,1.0,695.0,5.8,5.4,0.004,100.0,7.0,14.8
Multicolor Salat mit Wurzeln,a,0.0,1.0,13.8,0.125,1.75,0.0005,100.0,0.875,0.75
Biscuits aux fruits et au yaourt-fruit des bois,d,18.0,4.0,395.0,1.8,38.4,0.28,0.0,3.8,5.0
Spargel grün kurz,a,-6.0,1.0,26.0,0.1,1.4,0.004,100.0,1.4,3.4
Champignons émincés,a,-5.0,1.0,14.0,0.0,0.2,0.008,100.0,1.5,2.3
Haricots verts,a,-4.0,3.0,26.0,0.1,1.6,0.14,99.0,1.5,1.2
Velouté 10 légumes,b,2.0,4.0,34.0,0.2,0.8,0.23,25.0,0.6,0.7
4 Cuisses de poulet au paprika,d,12.0,4.0,220.0,4.7,0.0,0.52,0.0,0.0,19.0
Нектар от портокал,c,6.0,3.0,39.0,0.0,9.0,0.008,50.0,0.0,0.5
Emmental,c,10.0,3.0,373.0,19.0,1.0,0.28,0.0,0.0,27.0
Pur jus d'orange,c,5.0,1.0,39.0,0.0,9.2,0.0,100.0,0.0,0.6
Premium Granola Super Nussig,c,9.0,4.0,468.0,3.4,19.7,0.012,16.0,6.5,10.6
Solevita,c,4.0,1.0,44.0,0.1,9.0,0.0,100.0,0.0,0.7
Préparation d'abricots rouges du Roussillon,d,15.0,4.0,197.0,0.1,47.0,0.012,65.0,1.5,0.6
Refreshing Cranberry Juice drink,d,8.0,4.0,20.0,0.1,3.8,0.004,27.0,0.5,0.1
3 Brochettes de Filet de Poulet citron,a,-2.0,4.0,114.0,0.5,1.1,0.4,0.0,2.2,21.0
Apple juice,c,6.0,1.0,46.0,0.1,10.7,0.004,100.0,0.0,0.5
Croustillants abricot & romarin,c,10.0,4.0,428.0,1.4,22.0,0.0,53.0,3.7,5.0
Cocktail de encurtidos,d,13.0,4.0,61.0,0.8,1.5,1.24,0.0,3.1,0.8
Cookie choco,e,29.0,4.0,495.0,13.0,32.0,0.48,0.0,3.5,5.5
Pepinillo sabor anchoa,c,9.0,4.0,22.0,0.0,0.0,1.2,52.94,1.3,1.7
Emmental portion 29% MG env.250g CC,c,10.0,3.0,377.0,18.0,0.5,0.3,0.0,0.0,29.0
Extra jam abrikoos,d,13.0,1.0,245.0,0.1,53.0,0.004,50.0,0.8,0.5
Muesli crujiente - Frutos rojos,c,7.0,4.0,458.0,4.5,14.0,0.072,3.0,9.2,11.0
Choucroute Royale cuisinée au Riesling,c,6.0,4.0,98.0,2.9,0.4,0.44,46.0,1.8,5.7
Velouté de legumes,c,4.0,4.0,45.0,0.1,2.3,0.344,38.0,0.338,0.9
Velouté de legumes et de lentilles corail,b,2.0,3.0,37.0,0.3,2.8,0.284,51.0,2.0,1.2
Mouliné Légumes variés,c,3.0,4.0,36.0,0.7,0.7,0.28,45.0,0.5,0.8
Salade de Porc Moutarde et ses pommes de terre,b,2.0,4.0,69.0,0.5,1.2,0.34,42.5,0.0,5.6
Taboulé à l'orientale,c,6.0,4.0,193.0,0.5,3.6,0.404,28.6,1.2,4.9
Jus petit déjeuner,c,5.0,1.0,45.0,0.5,9.7,0.01,100.0,0.0,0.7
Petits pois et carottes à l'étuvée extra fins,a,-5.0,4.0,46.0,0.1,3.4,0.2,80.0,3.5,2.5
Petit Déj - 100% pur jus,c,5.0,1.0,48.0,0.0,10.0,0.004,100.0,0.5,0.5
2 boîtes Légumes couscous,a,-3.0,4.0,28.0,0.0,1.8,0.22,57.0,1.8,1.2
Fromage de tete aux herbes,d,13.0,4.0,192.0,5.2,0.5,0.56,0.0,0.0,16.0
Colin d'Alaska,b,1.0,4.0,66.0,1.5,0.9,0.316,8.5,0.0,8.5
Yaourt de Savoie,c,5.0,4.0,102.0,2.3,13.0,0.048,10.0,0.0,3.3
Amandes décortiquées,a,-10.0,1.0,626.0,3.6,4.2,0.004,100.0,13.0,21.0
Asperges blanches pelées,a,-4.0,3.0,17.0,0.10000000149012,1.5,0.1,0.0,1.3,1.7999999523163
Carrefour Chipolata de Campagne,d,15.0,4.0,247.0,7.3,0.5,0.48,0.0,0.5,16.0
Gyros porc d'antan +,d,15.0,4.0,247.0,7.3,0.5,0.48,0.0,0.5,16.0
Carrefour The Market Recette Exclusive Brochette de Campagne,c,5.0,4.0,109.0,2.1,0.7,0.36,18.2,0.5,14.0
Carrefour BIO Bio Chipolata,d,16.0,4.0,260.0,8.3,0.5,0.44,0.0,0.5,15.0
Filière Qualité Carrefour The Market Vache des Pâturages Hamburger Extra,d,16.0,4.0,238.0,8.3,0.5,0.56,0.0,0.9,17.0
Carrefour The Market Vache des Pâturages Hamburger aux Oignons FQC,d,13.0,4.0,204.0,5.4,0.5,0.56,0.0,1.3,17.0
Carrefour The Market Vache des Pâturages Steak Hache FQC,b,2.0,4.0,128.0,1.5,0.5,0.228,0.0,1.4,21.0
Brochette boeuf torsadee,c,3.0,4.0,142.0,2.5,0.5,0.24,0.0,0.5,19.0
Carrefour The Market BBQ Brochette de Porc Marinée,d,11.0,4.0,86.0,0.8,0.5,0.84,11.76,0.5,17.0
Carrefour The Market Oiseau Sans Tete de Boeuf,d,11.0,4.0,205.0,4.6,0.5,0.44,0.0,0.5,19.0
Carrefour The Market Rosbif Cuit,c,5.0,3.0,115.0,0.4,0.5,0.52,0.0,0.5,27.0
Almendra cáscara tostada,e,20.0,3.0,665.0,9.5,4.8,4.2,100.0,10.9,22.5
Mouliné de légumes variés,c,3.0,4.0,30.0,0.3,1.1,0.307848,41.0,1.1,0.8
Velouté de 9 légumes,c,3.0,4.0,44.0,0.2,2.0,0.308,39.0,0.9,0.7
Douceur de 8 légumes à la crème fraîche,c,4.0,4.0,70.0,1.6,3.3,0.296,41.0,1.1,1.1
Knorr Soupe Déshydratée Tomates aux Vermicelles 4 Portions,c,3.0,4.0,325.0,0.3,17.0,3.96,22.0,4.7,7.7
Velouté de potiron à la crème fraîche,b,2.0,4.0,37.0,1.2,2.3,0.304,53.0,0.9,0.8
Saucisson Cuit à l'Ail Fumé Label Rouge,e,20.0,4.0,278.0,8.7,0.7,0.76,0.0,0.0,19.4
Biscuits Thé,e,20.0,4.0,455.0,6.4,26.0,0.272,0.0,3.4,7.5
Cake vandame aux fruits,e,21.0,4.0,390.0,5.07,39.0,0.176,36.0,1.9,4.0
Biscottes goût brioché - Les gourmands Pelletier,c,6.0,4.0,173.0,3.5,4.8,0.144,0.0,1.3,4.8
Petits pois extra fins d'aucy 560g,a,-7.0,3.0,80.0,0.0,2.6,0.18,100.0,5.1,5.2
Petits pois extra fins et carottes d'aucy 530g,a,-6.0,3.0,58.0,0.0,3.0,0.2,100.0,4.3,4.0
Légumes cuisinés pour couscous d'aucy 800g,a,-3.0,3.0,30.0,0.1,1.8,0.228,55.0,1.8,1.2
Endives d'aucy 530g,a,-4.0,3.0,18.0,0.0,2.0,0.132,100.0,1.1,0.9
Tomates pelées d'aucy 235g,a,-4.0,3.0,19.0,0.0,2.5,0.104,100.0,1.2,0.9
Tomates pelées d'aucy 475g,a,-4.0,3.0,19.0,0.0,2.5,0.104,100.0,1.2,0.9
Lentilles préparées Cultivés en France d'aucy 530g,b,0.0,4.0,70.0,0.0,0.1,0.248,48.0,3.0,5.3
Haricots verts extra fins rangés d'aucy 220g,a,-3.0,3.0,24.0,0.0,0.7,0.184,100.0,2.9,1.8
Haricots beurre extra fins d'aucy 440g,b,-4.0,3.0,27.0,0.0,0.7,0.188,100.0,3.1,1.7
Haricots verts coupés et flageolets d'aucy 490g,a,-4.0,4.0,56.0,0.1,0.6,0.264,100.0,4.1,3.3
Haricots beurre extra fins d'aucy 220g,a,-4.0,3.0,27.0,0.0,0.7,0.188,100.0,3.1,1.7
Haricots beurre extra fins coupés d'aucy cart.3x110g,b,-4.0,3.0,27.0,0.0,0.7,0.188,100.0,3.1,1.7
Carottes extra fines d'aucy cart.3x130g,a,-3.0,3.0,22.0,0.0,2.3,0.212,100.0,2.1,0.6
Carottes en rondelles d'aucy 240g,a,-2.0,3.0,25.0,0.0,3.3,0.28,100.0,2.4,0.8
Petits pois extra fins d'aucy 280g,a,-7.0,3.0,80.0,0.0,2.6,0.18,100.0,5.1,5.2
Petits pois extra fins Carottes d'aucy 265g,a,-6.0,3.0,58.0,0.0,3.0,0.2,100.0,4.3,4.0
Flageolets extra fins d'aucy 265g,a,-7.0,4.0,87.0,0.1,0.4,0.192,100.0,5.9,5.4
Garniture de céleri-branche d'aucy 250g,c,3.0,3.0,9.0,0.0,0.2,0.292,100.0,1.3,0.5
Haricots rouges Cultivés en France d'aucy 250g,b,-4.0,4.0,96.0,0.1,0.5,0.212,100.0,6.5,7.2
Lentilles préparées Cultivés en France d'aucy 265g,b,0.0,4.0,70.0,0.0,0.1,0.248,48.0,3.0,5.3
Maïs Bio engagé d'aucy 285g,b,-2.0,3.0,89.0,0.5,4.9,0.172,100.0,3.8,2.9
Matelote de thon et petits légumes Plat de la mer d'aucy 300g,a,0.0,4.0,74.0,0.4,2.1,0.312,48.7,1.3,7.0
Merlu blanc Riz long sauce au beurre blanc Plat de la mer d'aucy 300g,c,3.0,4.0,119.0,1.5,0.6,0.272,10.8,1.5,5.7
Saumon et tagliatelles sauce à l'oseille Plat de la mer d'aucy 300g,b,2.0,4.0,130.0,1.9,0.5,0.284,6.2,1.1,8.0
Haricots blancs d'aucy 500g,b,-1.0,3.0,74.0,0.1,0.6,0.232,100.0,4.8,4.8
375g aubergines en caponata,b,2.0,3.0,85.0,0.7,6.6,0.44,42.0,2.4,1.0
Petits pois tendres et fondants d'aucy 560g,a,-6.0,3.0,80.0,0.0,2.6,0.18,100.0,5.1,5.2
Petits pois Carottes tendres et fondants d'aucy 530g,a,-6.0,3.0,58.0,0.0,3.0,0.2,100.0,4.3,4.0
Poêlée parisienne d'aucy 290g,b,2.0,4.0,42.0,0.1,2.3,0.284,59.0,2.6,1.4
Macédoine à la pommes de terre déjà égouttée d'aucy 265g,a,-1.0,3.0,54.0,0.0,1.8,0.184,77.0,3.8,2.4
Macédoine à la pommes de terre déjà égouttée d'aucy 530g,a,-1.0,3.0,54.0,0.0,1.8,0.184,77.0,3.8,2.4
Haricots verts extra fins rangés d'aucy 440g,a,-3.0,3.0,24.0,0.0,0.7,0.184,100.0,2.9,1.8
Asperges blanches mini cueillies main Sélection d'ailleurs d'aucy 110g,a,-2.0,3.0,16.0,0.0,1.3,0.288,100.0,1.1,1.6
Asperges blanches cueillies main Sélection d'ailleurs d'aucy 205g,a,-2.0,3.0,16.0,0.0,1.3,0.288,100.0,1.1,1.6
Poêlée jardinière d'aucy 580g,a,-1.0,4.0,59.0,0.2,2.9,0.272,56.0,3.4,2.5
Poêlée parisienne d'aucy 580g,b,2.0,4.0,42.0,0.1,2.3,0.284,59.0,2.6,1.4
Châtaignes entières d'aucy 510g,b,1.0,3.0,129.0,0.0,7.8,0.04,100.0,4.1,2.5
Asperges vertes mini cueillies main Sélection d'ailleurs d'aucy 100g,a,-3.0,3.0,19.0,0.0,1.1,0.232,100.0,1.5,1.9
Asperges vertes cueillies main Sélection d'ailleurs d'aucy 185g,a,-3.0,3.0,19.0,0.0,1.1,0.232,100.0,1.5,1.9
Betteraves rouges en dés d'aucy 265g,a,-2.0,3.0,40.0,0.0,6.5,0.216,100.0,2.6,1.1
Haricots verts extra fins d'aucy 440g,b,-4.0,3.0,28.0,0.0,0.5,0.22,100.0,3.2,1.7
Duo haricots verts et beurre extra fins coupés d'aucy 225g,b,1.0,3.0,26.0,0.0,0.7,0.224,100.0,3.0,1.6
